Year	Rd	Pk	Tm	Player
1989	1	1	SAC	Pervis Ellison
1989	1	2	LAC	Danny Ferry
1989	1	3	SAS	Sean Elliott
1989	1	4	MIA	Glen Rice
1989	1	5	CHH	J.R. Reid
1989	1	6	CHI	Stacey King
1989	1	7	IND	George McCloud
1989	1	8	DAL	Randy White
1989	1	9	WSB	Tom Hammonds
1989	1	10	MIN	Pooh Richardson
1989	1	11	ORL	Nick Anderson
1989	1	12	NJN	Mookie Blaylock
1989	1	13	BOS	Michael Smith1
1989	1	14	GSW	Tim Hardaway
1989	1	15	DEN	Todd Lichti
1989	1	16	SEA	Dana Barros
1989	1	17	SEA	Shawn Kemp
1989	1	18	CHI	B.J. Armstrong
1989	1	19	PHI	Kenny Payne
1989	1	20	CHI	Jeff Sanders
1989	1	21	UTA	Blue Edwards
1989	1	22	POR	Byron Irvin
1989	1	23	ATL	Roy Marble
1989	1	24	PHO	Anthony Cook
1989	1	25	CLE	John Morton
1989	1	26	LAL	Vlade Divac
1989	1	27	DET	Kenny Battle
1989	2	28	MIA	Sherman Douglas
1989	2	29	CHH	Dyron Nix
1989	2	30	MIL	Frank Kornet
1989	2	31	LAC	Jeff Martin
1989	2	32	NJN	Stanley Brundy
1989	2	33	LAC	Jay Edwards
1989	2	34	MIN	Gary Leonard
1989	2	35	DAL	Pat Durham
1989	2	36	POR	Clifford Robinson
1989	2	37	ORL	Michael Ansley
1989	2	38	MIN	Doug West
1989	2	39	WSB	Ed Horton
1989	2	40	BOS	Dino Radja
1989	2	41	WSB	Doug Roth
1989	2	42	DEN	Michael Cutright
1989	2	43	CLE	Chucky Brown
1989	2	44	PHI	Reggie Cross
1989	2	45	MIA	Scott Haffner
1989	2	46	PHO	Ricky Blanton
1989	2	47	DEN	Reggie Turner
1989	2	48	UTA	Junie Lewis
1989	2	49	ATL	Haywoode Workman
1989	2	50	NYK	Brian Quinnett
1990	1	1	NJN	Derrick Coleman
1990	1	2	SEA	Gary Payton
1990	1	3	DEN	Mahmoud Abdul-Rauf
1990	1	4	ORL	Dennis Scott
1990	1	5	CHH	Kendall Gill
1990	1	6	MIN	Felton Spencer
1990	1	7	SAC	Lionel Simmons
1990	1	8	LAC	Bo Kimble
1990	1	9	MIA	Willie Burton
1990	1	10	ATL	Rumeal Robinson
1990	1	11	GSW	Tyrone Hill
1990	1	12	HOU	Alec Kessler
1990	1	13	LAC	Loy Vaught
1990	1	14	SAC	Travis Mays
1990	1	15	MIA	Dave Jamerson
1990	1	16	MIL	Terry Mills
1990	1	17	NYK	Jerrod Mustaf
1990	1	18	SAC	Duane Causwell
1990	1	19	BOS	Dee Brown
1990	1	20	MIN	Gerald Glass
1990	1	21	PHO	Jayson Williams
1990	1	22	NJN	Tate George
1990	1	23	SAC	Anthony Bonner
1990	1	24	SAS	Dwayne Schintzius
1990	1	25	POR	Alaa Abdelnaby
1990	1	26	DET	Lance Blanks
1990	1	27	LAL	Elden Campbell
1990	2	28	GSW	Les Jepsen
1990	2	29	CHI	Toni Kukoc
1990	2	30	MIA	Carl Herrera
1990	2	31	PHO	Negele Knight
1990	2	32	PHI	Brian Oliver
